IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
58;Temperatura;3;°C;27/10/1989;12/02/2021;06/05/2024;5122198;567188;1719;35;Caspoggio Piazzo Cavalli;SO;Caspoggio
64;Livello Idrometrico;1;cm;10/11/1989;28/12/2018;06/05/2024;5124452;568154;988;33;Lanzada Ganda;SO;Lanzada
70;Altezza Neve;4;cm;27/10/1989;12/02/2021;06/05/2024;5122198;567188;1719;35;Caspoggio Piazzo Cavalli;SO;Caspoggio
115;Temperatura;3;°C;01/12/2001;21/10/2018;06/05/2024;5097126;566799;1955;58;Carona Lago Fregabolgia;BG;Carona
116;Precipitazione;2;mm;01/01/2002;21/10/2018;06/05/2024;5097126;566799;1955;58;Carona Lago Fregabolgia;BG;Carona
117;Altezza Neve;4;cm;01/12/2001;21/10/2018;06/05/2024;5097126;566799;1955;58;Carona Lago Fregabolgia;BG;Carona
121;Temperatura;3;°C;20/11/2002;26/06/2019;06/05/2024;5131088;539415;665;60;Villa di Chiavenna ;SO;Villa di Chiavenna
122;Precipitazione;2;mm;20/11/2002;26/06/2019;06/05/2024;5131088;539415;665;60;Villa di Chiavenna ;SO;Villa di Chiavenna
131;Velocità Vento;9;m/s;15/10/2004;12/02/2021;06/05/2024;5122198;567188;1719;35;Caspoggio Piazzo Cavalli;SO;Caspoggio
132;Direzione Vento;10;°;15/10/2004;12/02/2021;06/05/2024;5122198;567188;1719;35;Caspoggio Piazzo Cavalli;SO;Caspoggio
207;Altezza Neve;4;cm;05/12/2011;15/12/2021;06/05/2024;5141977;619522;2180;16;VALFURVA Ghiacciaio dei Forni;SO;Valfurva
210;Direzione Vento;10;°;01/01/2011;15/12/2021;06/05/2024;5141977;619522;2180;16;VALFURVA Ghiacciaio dei Forni;SO;Valfurva
211;Velocità Vento;9;m/s;01/01/2011;15/12/2021;06/05/2024;5141977;619522;2180;16;VALFURVA Ghiacciaio dei Forni;SO;Valfurva
2001;Temperatura;3;°C;29/06/2001;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2002;Umidità Relativa;11;%;29/06/2001;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2003;Velocità Vento;9;m/s;29/06/2001;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2005;Direzione Vento;10;°;29/06/2001;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2006;Precipitazione;2;mm;29/06/2001;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2008;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;5038171;520120;120;100;Milano Lambrate;MI;Milano
2039;Temperatura;3;°C;27/06/2001;;06/05/2024;5002165;538425;140;102;San Colombano al Lambro ;MI;San Colombano al Lambro
2040;Umidità Relativa;11;%;27/06/2001;;06/05/2024;5002165;538425;140;102;San Colombano al Lambro ;MI;San Colombano al Lambro
2044;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;5002165;538425;140;102;San Colombano al Lambro ;MI;San Colombano al Lambro
2046;Precipitazione;2;mm;27/06/2001;;06/05/2024;5002165;538425;140;102;San Colombano al Lambro ;MI;San Colombano al Lambro
2048;Direzione Vento;10;°;27/06/2001;;06/05/2024;5002165;538425;140;102;San Colombano al Lambro ;MI;San Colombano al Lambro
2063;Temperatura;3;°C;21/06/1995;;16/06/2004;5038760;520713;120;104;Segrate Milano Due;MI;Segrate
2064;Umidità Relativa;11;%;21/06/1995;;16/06/2004;5038760;520713;120;104;Segrate Milano Due;MI;Segrate
2065;Precipitazione;2;mm;23/09/1994;;16/06/2004;5038760;520713;120;104;Segrate Milano Due;MI;Segrate
2082;Temperatura;3;°C;15/05/2001;;06/05/2024;4961571;514194;500;106;Varzi Nivione;PV;Varzi
2083;Umidità Relativa;11;%;15/05/2001;;06/05/2024;4961571;514194;500;106;Varzi Nivione;PV;Varzi
2084;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;4961571;514194;500;106;Varzi Nivione;PV;Varzi
2089;Precipitazione;2;mm;15/05/2001;;06/05/2024;4961571;514194;500;106;Varzi Nivione;PV;Varzi
2091;Direzione Vento;10;°;15/05/2001;;06/05/2024;4961571;514194;500;106;Varzi Nivione;PV;Varzi
2096;Temperatura;3;°C;29/01/2001;;06/05/2024;5113016;565691;307;107;Sondrio Fond.Fojanini;SO;Sondrio
2097;Umidità Relativa;11;%;29/01/2001;;06/05/2024;5113016;565691;307;107;Sondrio Fond.Fojanini;SO;Sondrio
2098;Radiazione Globale;12;W/m²;05/03/2001;;06/05/2024;5113016;565691;307;107;Sondrio Fond.Fojanini;SO;Sondrio
2103;Precipitazione;2;mm;29/01/2001;;06/05/2024;5113016;565691;307;107;Sondrio Fond.Fojanini;SO;Sondrio
2104;Direzione Vento;10;°;29/01/2001;;06/05/2024;5113016;565691;307;107;Sondrio Fond.Fojanini;SO;Sondrio
2110;Temperatura;3;°C;27/07/1994;;06/05/2024;5120370;532896;206;108;Samolaco v.Vignola;SO;Samolaco
2111;Umidità Relativa;11;%;27/07/1994;;06/05/2024;5120370;532896;206;108;Samolaco v.Vignola;SO;Samolaco
2112;Radiazione Globale;12;W/m²;24/07/1998;;06/05/2024;5120370;532896;206;108;Samolaco v.Vignola;SO;Samolaco
2116;Precipitazione;2;mm;27/07/1994;;06/05/2024;5120370;532896;206;108;Samolaco v.Vignola;SO;Samolaco
2117;Direzione Vento;10;°;27/07/1994;;06/05/2024;5120370;532896;206;108;Samolaco v.Vignola;SO;Samolaco
2122;Temperatura;3;°C;11/03/1993;;06/05/2024;5011978;529787;60;109;Sant'Angelo Lodigiano ;LO;Sant'Angelo Lodigiano
